"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"WK02"	"WK02_01"	"SD01_01"	"SD02_01"	"SD03"	"EX01"	"EX01_07"	"EX02"	"EX02_07"	"EX03"	"EX03_07"	"EX04"	"EX04_07"	"EX05"	"EX05_07"	"EX06"	"EX06_07"	"EX07"	"EX07_07"	"EX08"	"EX08_07"	"EX09"	"EX09_07"	"EX10"	"EX10_07"	"EX11"	"EX11_07"	"EX12"	"EX12_07"	"EX13"	"EX13_07"	"EX14"	"EX14_07"	"EX15"	"EX15_07"	"EX16"	"EX16_07"	"EX17"	"EX17_07"	"EX18"	"EX18_07"	"EX19"	"EX20"	"EX20_07"	"EX21"	"EX21_07"	"EX22"	"EX22_07"	"EX23"	"EX23_07"	"EX24"	"EX25"	"EX26"	"EX26_07"	"EX27"	"EX27_07"	"EX28"	"EX28_07"	"EX29"	"EX29_07"	"EX30"	"EX30_07"	"EX31"	"EX31_07"	"EX32"	"EX32_07"	"EX33"	"EX33_07"	"EX34"	"EX34_07"	"EX35"	"EX35_07"	"EX36"	"EX36_07"	"EX37"	"EX37_07"	"EX38"	"EX38_07"	"EX39"	"EX39_07"	"EX40"	"EX40_07"	"EX41"	"EX41_07"	"EX42"	"EX42_07"	"EX43"	"EX43_07"	"EX44"	"EX44_07"	"EX45"	"EX45_07"	"EX46"	"EX46_07"	"EX47"	"EX47_07"	"EX48"	"EX48_07"	"EX49"	"EX49_07"	"EX50"	"EX50_07"	"EX51"	"EX51_07"	"EX52"	"EX53"	"EX53_07"	"EX54"	"EX54_07"	"EX55"	"EX55_07"	"EX56"	"EX56_07"	"EX57"	"EX57_07"	"EX58"	"EX58_07"	"EX59"	"EX59_07"	"EX60"	"EX60_07"	"EX61"	"EX61_07"	"EX62"	"EX63"	"EX63_07"	"EX64"	"EX65"	"EX65_07"	"EX66"	"EX67"	"EX67_07"	"EX68"	"EX68_07"	"EX69"	"EX69_07"	"EX70"	"KO01"	"KO01_07"	"KO02"	"KO02_07"	"KO03"	"KO03_07"	"KO04"	"KO04_07"	"KO05"	"KO05_07"	"KO06"	"KO06_07"	"KO07"	"KO07_07"	"KO08"	"KO09"	"KO10"	"KO10_07"	"KO11"	"KO12"	"KO13"	"KO13_07"	"KO14"	"KO14_07"	"KO15"	"ZF01_CP"	"ZF01x01"	"ZF01x02"	"ZF01x03"	"ZF01x04"	"ZF01x05"	"ZF01x06"	"ZF01x07"	"ZF01x08"	"ZF01x09"	"ZF01x10"	"ZF01x11"	"ZF01x12"	"ZF01x13"	"ZF01x14"	"ZF01x15"	"ZF01x16"	"ZF01x17"	"ZF01x18"	"ZF01x19"	"ZF01x20"	"ZF01x21"	"ZF01x22"	"ZF01x23"	"ZF01x24"	"ZF01x25"	"ZF01x26"	"ZF01x27"	"ZF01x28"	"ZF01x29"	"ZF01x30"	"ZF01x31"	"ZF01x32"	"ZF01x33"	"ZF01x34"	"ZF01x35"	"ZF01x36"	"ZF01x37"	"ZF01x38"	"ZF01x39"	"ZF01x40"	"ZF01x41"	"ZF01x42"	"ZF01x43"	"ZF01x44"	"ZF01x45"	"ZF01x46"	"ZF01x47"	"ZF01x48"	"ZF01x49"	"ZF01x50"	"ZF01x51"	"ZF01x52"	"ZF01x53"	"ZF01x54"	"ZF01x55"	"ZF01x56"	"ZF01x57"	"ZF01x58"	"ZF01x59"	"ZF01x60"	"ZF01x61"	"ZF01x62"	"ZF01x63"	"ZF01x64"	"ZF01x65"	"ZF01x66"	"ZF01x67"	"ZF01x68"	"ZF01x69"	"ZF01x70"	"ZF01x71"	"ZF01x72"	"ZF01x73"	"ZF01x74"	"ZF01x75"	"ZF01x76"	"ZF01x77"	"ZF01x78"	"ZF01x79"	"ZF01x80"	"ZF01x81"	"ZF01x82"	"ZF01x83"	"ZF01x84"	"ZF01x85"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME018"	"TIME019"	"TIME020"	"TIME021"	"TIME022"	"TIME023"	"TIME024"	"TIME025"	"TIME026"	"TIME027"	"TIME028"	"TIME029"	"TIME030"	"TIME031"	"TIME032"	"TIME033"	"TIME034"	"TIME035"	"TIME036"	"TIME037"	"TIME038"	"TIME039"	"TIME040"	"TIME041"	"TIME042"	"TIME043"	"TIME044"	"TIME045"	"TIME046"	"TIME047"	"TIME048"	"TIME049"	"TIME050"	"TIME051"	"TIME052"	"TIME053"	"TIME054"	"TIME055"	"TIME056"	"TIME057"	"TIME058"	"TIME059"	"TIME060"	"TIME061"	"TIME062"	"TIME063"	"TIME064"	"TIME065"	"TIME066"	"TIME067"	"TIME068"	"TIME069"	"TIME070"	"TIME071"	"TIME072"	"TIME073"	"TIME074"	"TIME075"	"TIME076"	"TIME077"	"TIME078"	"TIME079"	"TIME080"	"TIME081"	"TIME082"	"TIME083"	"TIME084"	"TIME085"	"TIME086"	"TIME087"	"TIME088"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
134			"base"	"interview"	2021-02-23 12:25:15	1	T	"19"	"deutsch"	1	7	"Erstaunen"	4		1		4		4		7	"Erkenntnis"	4		4		4		4		1		4		4		4		7	"Begrüßung"	4		1		4		2	1		4		1		1		1	1	1		7	"Erstaunen"	2		4		2		1		1		3		5		5		1		3		2		1		2		4		4		4		4		4		1		4		1		4		4		4		1	1		1		1		1		1		1		6		1		1		1	2		1	1		1	1		4		1		1	6		3		4		2		1		4		5		4	6	4		5	4	2		5		5	84	74	81	76	11	41	65	37	22	20	19	50	23	4	68	63	26	71	1	21	48	72	47	6	38	54	30	8	5	28	55	59	35	40	3	17	15	52	39	64	36	77	31	10	43	79	46	83	16	67	61	24	53	9	82	2	85	33	27	60	80	70	69	13	57	49	62	84	29	12	78	34	56	25	73	75	51	45	42	14	58	32	7	44	18	66	14	9	12	5	8	3	9	8	3	3	3	3	3	3	3	2	10	2	2	1	3	3	3	3	14	2	5	6	10	4	4	5	4	3	5	2	5	6	4	6	3	3	7	4	4	4	8	4	4	4	5	4	2	3	3	2	4	4	3	2	2	4	5	2	12	2	3	2	3	4	2	2	4	5	9	4	2	4	4	3	2	4	8	2	6	5	3	3	373		2021-02-23 12:31:47	T	F	88	88	0	0	1.25	18
135			"base"	"interview"	2021-02-23 12:26:06	1	T	"34"	"Deutsch"	2	4		6		4		4		1		4		2		4		4		4		4		4		4		4		4		4		4		4		6	2		4		1		2		2	1	1		4		3		4		2		3		1		6		3		6		6		3		3		4		2		3		4		3		3		3		4		3		3		3		4		1		3	1		1		1		2		1		6		3		3		1		1	2		1	2		2	2		4		4		4	6		3		4		2		1		1		4		4	5	4		5	4	2		4		3	89	16	83	46	47	19	82	75	29	14	38	59	84	2	70	52	20	76	25	1	71	51	32	66	67	10	9	27	33	85	58	54	37	80	11	40	64	78	31	77	60	69	79	45	36	63	5	50	7	3	24	15	18	41	68	62	28	81	17	13	55	53	48	12	49	65	44	26	73	74	22	72	4	39	43	57	42	8	34	6	30	56	23	35	61	21	19	9	22	13	4	2	7	4	4	2	3	3	3	2	2	7	3	10	4	2	8	13	4	5	3	5	5	2	4	4	13	4	5	6	5	4	4	4	5	7	3	3	7	5	4	4	4	8	13	4	7	2	7	5	3	3	5	4	5	3	102	4	3	4	4	2	4	3	2	2	3	6	3	3	4	5	3	6	3	2	5	4	3	5	9	6	166	4	404		2021-02-23 12:37:50	T	F	88	88	0	0	1.1	13
136			"base"	"interview"	2021-02-23 12:26:09	1	T	"35"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		1		1		4		4		5	1		4		1		1		1	1	1		6		4		4		4		1		1		3		4		4		4		4		4		4		2		4		4		4		4		4		4		4		4		1		4		1		2	1		1		1		1		1		1		1		1		6		1	4		1	1		1	1		4		4		1	5		3		4		2		1		1		4		4	3	4		5	4	2		4		3	88	35	3	69	48	21	42	6	82	14	55	20	41	56	19	80	49	65	31	17	15	27	67	77	40	61	5	12	60	62	52	53	24	32	83	4	45	1	16	85	23	73	66	64	25	72	70	22	26	36	7	71	11	74	34	33	29	81	59	39	76	13	63	78	54	51	68	38	10	47	58	28	8	79	75	30	46	50	43	18	84	2	37	9	57	44	10	11	2	5	16	9	2	3	6	4	3	4	7	6	5	1	6	4	4	7	3	9	9	2	2	3	2	2	10	4	6	4	6	3	9	6	11	5	3	4	6	8	12	5	4	3	7	4	3	15	8	6	3	2	5	2	6	3	2	3	5	3	15	3	6	2	5	3	4	2	8	3	3	3	8	5	3	3	5	3	4	15	6	6	3	10	4	2	444		2021-02-23 12:33:57	T	F	88	88	0	0	1.07	11
137			"base"	"interview"	2021-02-23 12:26:11	1	T	"38"	"deutsch"	2	4		4		4		4		1		4		4		4		4		4		1		4		4		4		1		3		4		4		6	2		3		3		1		1	1	1		4		1		4		4		2		1		3		4		4		1		3		1		1		4		4		4		4		4		3		4		2		1		1		4		4		2	1		1		3		1		4		3		1		1		1		1	2		1	2		1	1		1		4		1	6		3		7	"Geruch"	2		1		4		5		4	5	7	"Geschmack"	5	4	2		3		3	87	62	55	31	71	65	4	14	83	41	84	47	9	40	2	44	49	39	5	57	52	73	26	17	21	1	34	18	12	13	81	33	45	8	77	69	79	29	19	67	63	76	60	61	46	51	32	64	42	28	43	16	80	20	58	50	15	56	22	53	24	25	72	78	66	38	30	48	35	85	82	7	75	54	70	37	59	27	6	36	68	11	10	3	23	74	8	24	5	5	5	9	7	1	3	9	6	4	4	3	4	5	7	3	6	3	4	4	6	6	2	5	4	8	8	4	6	7	9	8	4	9	6	4	4	4	4	4	9	5	6	6	20	7	19	7	5	6	3	4	14	7	15	3	6	5	4	3	4	5	5	3	7	4	3	7	8	2	3	3	21	4	7	13	5	5	4	19	5	3	6	11	4	5	516		2021-02-23 12:35:32	T	F	88	88	0	0	0.88	6
138			"base"	"interview"	2021-02-23 12:26:12	1	T	"46"	"Deutsch"	1																																						6																																																																																															6																									93	71	20	25	41	46	33	42	34	43	80	38	11	27	23	6	4	9	69	31	79	67	5	60	17	57	22	24	40	76	26	32	44	48	52	63	65	29	64	84	61	73	3	70	55	77	59	16	58	15	18	10	45	81	49	28	68	12	85	35	30	54	2	8	36	37	78	62	14	1	21	47	56	51	19	7	74	39	50	66	53	72	13	82	75	83	47	11																				5																																																			8																66		2021-02-23 12:27:23	F	F	22	73	0	0	0.6	0
139			"base"	"interview"	2021-02-23 12:26:20	1	T	"26"	"Deutsch"	1	4		4		4		4		4		4		4		4		4		4		4		4		4		4		4		3		4		4		6	2		1		4		1		1	3	4		4		2		4		2		1		1		3		3		2		6		3		1		4		2		3		4		2		3		3		4		2		2		4		3		3		4	1		2		3		1		1		1		6		1		3		1	2		1	1		4	1		2		4		1	6		3		4		2		1		1		4		4	5	3		5	4	2		3		3	91	75	1	66	47	42	10	80	56	48	3	20	26	44	72	14	6	28	25	78	34	15	68	63	55	16	29	52	79	45	21	58	64	27	50	57	13	84	60	70	82	59	65	23	77	62	41	61	51	37	73	85	33	17	22	24	83	43	5	11	36	7	49	74	35	32	67	38	19	69	31	71	9	39	54	4	12	81	30	46	40	18	53	2	76	8	17	13	9	5	3	3	5	3	4	5	8	4	3	5	4	3	6	6	4	3	4	3	2	4	3	3	34	5	6	4	3	7	4	6	7	3	3	5	6	3	5	6	4	15	4	5	4	4	10	11	4	4	9	9	10	5	6	3	4	3	9	5	20	3	3	2	3	6	4	6	3	2	4	3	8	3	8	3	4	4	3	7	8	4	6	29	4	2	457		2021-02-23 12:35:00	T	F	88	88	0	0	0.99	8
140			"base"	"interview"	2021-02-23 12:26:35	1	T	"37"	"Deutsch"	2	4		4		1		4		1		4		4		4		4		4		1		4		4		4		2		3		4		4		2	2		4		1		1		1	1	1		4		3		1		2		2		1		3		3		3		2		3		2		4		4		4		4		4		3		1		4		2		4		1		3		1		2	1		1		1		2		1		1		1		1		1		1	2		1	1		2	1		4		2		1	6		3		7	"Ein Geruch"	2		1		1		5		4	3	7	"Ein Geschmack"	5	4	2		7	"Ein Geschmack"	3	94	49	5	23	17	82	55	6	29	45	16	58	56	71	41	37	47	14	74	12	44	10	73	15	28	54	24	3	7	22	53	9	60	67	4	62	31	70	77	79	51	1	75	30	35	20	13	21	85	64	39	52	68	48	83	42	11	57	40	25	50	59	8	72	19	65	36	69	80	66	33	78	26	38	76	18	81	43	34	27	46	2	32	84	63	61	25	23	8	11	13	11	19	17	13	9	41	4	2	6	8	11	59	63	29	31	4	11	10	9	5	12	3	16	34	21	65	7	79	3	154	8	24	10	12	4	21	29	33	10	15	11	86	35	8	26	26	69	31	21	7	3	6	11	3	18	6	8	3	6	9	2	9	21	5	38	19	4	13	4	50	13	5	11	12	4	9	41	3	4	3	19	11	3	540		2021-02-23 12:54:54	T	F	88	88	0	0	0.49	1
141			"base"	"interview"	2021-02-23 12:26:51	1	T	"20"	"Deutsch "	1	1		5		3		3		2		3		1		2		6		2		4		1		4		1		6		5		6		6		6	5		4		5		3		1	5	4		1		3		6		2		2		3		3		2		5		6		6		2		3		6		3		1		5		6		5		6		3		3		2		6		6		5	4		1		3		5		1		3		4		5		2		5	6		5	4		6	2		6		3		1	1		2		2		4		1		3		4		3	4	5		1	3	3		4		4	92	77	70	85	36	65	30	48	25	9	67	84	53	69	20	42	51	5	29	17	22	24	75	6	73	14	16	80	26	2	45	28	74	39	79	23	60	12	35	38	57	83	47	41	33	11	7	56	71	31	68	62	81	18	50	40	21	61	59	10	27	49	44	19	43	8	3	34	54	46	58	15	78	4	63	72	82	1	66	64	32	37	55	13	52	76	3	9	0	1	2	1	1	7	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	2	2	1	1	2	1	2	1	2	1	1	0	1	3	0	1	1	1	1	2	1	1	1	2	1	1	1	1	2	2	3	2	0	2	1	2	3	1	1	1	1	1	1	2	5	120		2021-02-23 12:28:51	T	F	88	88	0	0	2.74	171
142			"base"	"interview"	2021-02-23 12:27:00	1	T	"54"	"Deutsch"	2	3		1		6		3		1		3		4		2		2		4		1		5		2		4		1		1		3		4		3	2		4		1		1		2	1	1		4		1		3		2		2		3		5		5		3		3		3		2		4		2		1		2		1		3		2		4		2		2		1		3		1		3	2		2		1		1		1		2		1		1		1		1	2		1	2		2	1		4		2		4	6		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	95	37	57	9	75	7	17	43	13	28	1	35	4	16	77	12	46	51	81	61	71	76	22	25	8	56	45	47	30	6	68	74	23	69	15	41	64	44	10	84	39	73	80	60	36	65	59	58	55	31	85	34	21	63	33	49	53	5	42	2	24	32	27	66	18	50	78	3	67	29	14	40	72	26	38	20	83	79	54	82	70	62	11	52	19	48	6	83	4	2	5	4	3	4	6	3	8	6	5	7	4	4	8	806	2	4	2	11	6	3	5	4	3	3	2	8	2	5	7	3	10	3	10	4	7	5	6	4	7	5	3	10	13	5	3	3	3	3	3	3	2	3	5	3	13	3	4	3	4	2	3	4	5	4	2	4	7	4	3	5	10	4	3	3	4	4	2	13	4	3	3	11	2	3	409		2021-02-23 12:48:43	T	F	88	88	0	0	1.1	12
143			"base"	"interview"	2021-02-23 12:27:21	1	T	"38"	"Deutsch"	1	4		4		4		4		2		4		4		4		4		4		5		4		4		4		2		4		3		4		2	2		4		3		1		1	1	1		2		2		2		2		4		1		3		5		3		4		3		2		4		2		1		4		1		3		3		4		2		1		1		3		1		5	1		1		1		1		1		2		3		1		1		1	2		1	2		1	1		1		2		1	6		4		4		2		1		1		5		4	5	5		5	4	2		3		3	96	15	72	58	61	6	14	70	82	62	23	22	49	53	19	24	12	42	85	48	39	64	25	4	67	69	35	43	65	44	34	54	21	32	47	16	84	68	27	79	74	40	51	3	37	80	30	38	31	11	63	57	83	75	9	36	1	78	52	81	56	60	76	5	73	28	10	66	8	7	50	41	13	17	29	45	2	20	59	55	77	26	46	33	18	71	3	10	4	2	5	3	3	7	3	2	6	3	3	3	3	6	5	3	9	2	4	2	5	7	2	4	2	5	2	5	5	1	8	4	6	2	7	6	2	5	4	3	5	5	4	2	7	3	3	3	9	3	8	3	3	5	2	4	4	8	7	2	3	4	9	2	4	5	2	4	4	4	3	13	13	4	3	3	2	3	4	11	2	5	3	8	4	3	382		2021-02-23 12:33:52	T	F	88	88	0	0	1.23	17
144			"base"	"interview"	2021-02-23 12:27:30	1	T	"56"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		4		1		4		4		4		4		4		2		4		2	2		4		1		2		1	1	1		2		2		4		2		1		1		3		4		4		4		4		2		4		2		1		1		4		4		4		4		2		2		1		4		1		2	1		1		1		1		1		1		6		2		1		1	1		1	2		1	1		1		4		1	6		3		4		2		1		1		4		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	104	23	36	77	2	15	70	66	79	76	35	67	16	12	45	53	57	28	24	68	56	29	11	85	21	49	3	82	13	55	31	46	64	10	63	33	72	59	71	30	80	61	51	52	41	58	1	26	20	75	32	25	48	27	17	81	78	69	19	65	8	39	74	34	37	50	18	83	5	60	9	6	62	43	44	73	7	4	47	40	84	54	14	42	22	38	52	21	7	8	6	4	5	3	8	15	5	8	5	7	12	12	31	15	13	5	6	6	6	7	37	13	18	11	10	8	4	5	7	8	7	11	26	24	11	4	9	7	11	13	13	5	33	8	5	9	7	13	7	7	6	9	15	9	7	8	10	12	7	9	13	4	9	7	11	7	8	11	6	9	27	5	7	9	24	7	13	34	7	7	7	24	5	8	653		2021-02-23 12:43:51	T	F	88	88	0	0	0.52	1
145			"base"	"interview"	2021-02-23 12:27:30	1	T	"55"	"deutsch"	2	1		4		7	"Geschmack"	4		1		4		4		4		4		4		1		4		1		4		1		1		2		4		6	1		4		1		1		1	1	1		2		1		4		2		3		1		5		6		5		1		4		1		4		2		2		4		3		4		1		4		2		1		3		3		1		1	1		1		1		1		1		1		1		1		1		1	2		1	1		1	1		1		1		1	6		3		4		2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	97	45	28	59	3	29	63	51	44	38	37	20	32	14	6	84	40	70	79	57	46	83	80	50	67	34	53	22	27	30	24	9	35	76	36	17	64	2	82	42	1	12	11	71	15	26	18	56	73	62	13	10	61	39	65	25	19	49	85	58	68	48	8	69	16	33	66	31	5	74	60	4	7	47	52	75	54	72	81	77	43	55	21	78	23	41	4	13	4	4	21	3	3	3	5	4	8	5	4	3	3	4	6	2	5	5	3	5	5	2	3	4	7	4	9	9	14	5	7	6	6	5	7	5	4	13	5	6	8	6	5	5	18	5	5	11	7	9	13	4	7	3	6	3	3	3	6	3	5	4	13	4	3	3	4	5	3	4	3	4	6	7	4	3	2	5	7	9	3	3	4	16	6	4	481		2021-02-23 12:35:57	T	F	88	88	0	0	0.95	7
146			"base"	"interview"	2021-02-23 12:27:35	1	T	"32"	"deutsch"	2	4		2		6		2		4		5		4		2		5		4		2		4		3		4		2		4		4		2		2	5		2		3		1		2	2	3		2		6		5		2		2		4		3		4		4		1		4		2		2		2		2		5		6		2		3		4		2		2		5		3		2		6	4		2		2		3		3		2		2		4		6		6	2		2	3		2	1		2		1		5	5		6		2		1		2		1		2		1	1	1		2	2	4		5		5	98	63	52	80	34	29	76	31	24	46	40	14	66	32	18	44	39	26	43	55	2	15	27	64	82	48	58	33	53	69	77	11	56	21	9	85	16	8	49	65	23	36	42	17	7	75	12	19	60	83	6	51	67	57	59	5	61	79	30	38	28	41	71	20	3	54	68	47	35	13	4	50	74	1	70	62	84	78	25	10	37	45	22	73	81	72	2	7	1	1	1	1	1	1	1	1	1	1	0	1	1	3	2	1	1	1	1	1	1	1	1	1	1	24	1	1	3	1	2	2	3	1	1	1	1	0	1	2	1	1	1	1	4	1	0	2	1	0	1	3	2	1	1	1	1	1	1	1	0	1	5	1	0	1	1	8	1	1	0	1	1	1	1	3	75	0	1	3	1	2	0	0	1	3	127		2021-02-23 12:31:13	T	F	88	88	0	0	2.69	171
147			"base"	"interview"	2021-02-23 12:27:36	1	T	"46"	"Deutsch"	1	4		4		7	"Geschmack"	4		1		4		7	"Winnie puh"	4		4		4		1		4		1		4		1		4		2		4		2	2		4		1		1		2	1	1		2		2		1		2		1		1		3		2		3		1		3		2		4		2		4		4		4		3		4		4		2		7	"sagt mir nix"	1		3		1		2	1		1		1		1		1		2		7	"sagt mir nix"	1		1		1	2		1	2		2	1		4		4		1	6		3		7	"Geruch"	2		1		1		5		4	3	7	"Geschmack"	5	4	2		7	"Geschmack"	3	99	7	41	74	11	47	43	53	58	80	57	72	70	28	59	52	20	77	12	19	15	6	24	51	18	56	4	37	2	68	26	67	55	40	22	62	73	36	78	71	5	9	1	84	75	34	8	39	44	32	66	27	29	49	14	10	54	85	35	69	17	38	45	13	30	82	21	42	50	79	60	46	81	83	76	31	16	3	23	65	33	61	63	64	25	48	4	11	4	6	15	41	3	6	29	6	8	8	7	6	6	5	8	7	4	4	7	5	10	4	3	4	4	5	6	7	7	5	4	28	4	9	9	5	6	6	6	10	21	5	143	45	6	4	10	10	4	11	9	10	8	6	4	6	3	6	15	5	5	2	4	3	6	5	4	13	8	3	3	7	17	5	3	4	9	3	10	16	9	4	5	12	6	3	542		2021-02-23 12:41:39	T	F	88	88	0	0	0.75	2
148			"base"	"interview"	2021-02-23 12:27:47	1	T	"50"	"Deutsch"	2	4		4		4		4		2		4		4		4		4		1		1		4		4		4		4		4		4		4		2	2		4		1		1		3	3	1		4		2		2		2		3		1		3		3		6		7	"nix"	4		2		4		2		3		4		1		4		4		4		4		7	"garnix"	1		4		1		2	1		1		1		1		1		1		1		1		1		1	2		1	2		1	1		4		4		1	5		3		7	"Geruch"	2		1		1		5		4	5	7	"Geschmack"	5	4	2		7	"Geschmack"	3	101	1	11	73	60	5	43	6	4	20	63	24	7	39	83	81	15	2	34	77	65	17	13	55	42	22	75	82	61	72	52	27	76	78	68	19	80	47	12	84	71	35	21	14	64	25	48	32	16	66	45	36	57	79	9	40	56	41	28	50	38	44	69	49	37	29	10	70	46	30	8	67	85	18	62	51	74	53	54	26	23	58	3	31	59	33	9	11	9	2	2	6	7	5	4	3	3	6	5	4	1	2	8	8	7	2	2	7	3	4	2	4	2	3	3	5	2	4	5	4	5	3	8	8	3	6	5	5	9	6	9	4	4	3	8	17	4	3	5	6	4	2	4	3	2	3	5	10	3	2	4	5	4	5	3	4	4	3	6	5	17	4	3	4	10	3	3	16	6	3	3	20	4	4	456		2021-02-23 12:35:23	T	F	88	88	0	0	1.09	12
149			"base"	"interview"	2021-02-23 12:27:50	1	T	"43"	"Deutsch"	1	4		4		6		6		1		4		4		4		6		3		2		1		4		1		1		4		2		6		5	2		1		1		1		1	1	1		4		2		1		6		2		1		3		2		2		3		4		3		4		4		2		1		4		4		4		4		2		1		4		2		1		4	1		2		1		1		1		2		1		4		1		1	2		1	2		2	1		4		1		1	6		7	"Farbe"	7	"Geruch"	2		1		1		5		4	6	7	"Geschmack"	5	4	2		7	"Obst"	3	102	60	64	76	23	81	17	1	11	6	43	45	66	13	80	27	50	58	70	63	32	68	65	52	19	49	36	83	9	35	59	55	85	7	78	20	2	47	40	75	74	24	51	18	8	30	61	3	28	72	34	5	14	42	15	84	54	37	10	79	16	22	57	26	41	39	73	29	48	82	53	62	77	44	38	46	71	4	69	12	21	67	25	31	56	33	7	14	4	6	11	10	5	6	5	5	4	4	12	5	8	6	7	4	10	5	7	7	6	6	6	8	4	4	5	8	14	6	4	12	11	6	8	5	7	5	5	3	4	5	9	5	12	4	6	6	10	4	12	4	9	22	5	5	2	5	7	36	9	7	4	7	5	9	3	6	4	10	3	13	16	4	15	29	3	7	7	21	6	4	5	15	7	3	556		2021-02-23 12:39:09	T	F	88	88	0	0	0.73	2
150			"base"	"interview"	2021-02-23 12:27:51	1	T	"40"	"Deutsch"	1	4		4		4		4		1		4		4		4		4		1		1		4		2		4		1		4		4		3		6	2		4		1		1		1	1	1		4		2		1		2		1		1		3		3		3		2		3		2		4		2		1		4		1		3		4		4		2		1		1		1		1		2	1		1		1		1		1		1		1		1		1		1	2		1	2		2	1		3		1		1	6		3		3		2		1		1		5		4	3	4		5	4	2		3		3	100	25	37	81	78	83	68	44	32	33	31	22	5	21	4	13	2	19	29	17	85	53	1	10	27	70	77	45	69	75	64	20	38	65	57	58	47	36	59	3	35	46	28	43	23	6	66	74	11	82	72	61	49	79	63	39	51	76	7	71	8	60	52	18	67	15	26	56	73	48	14	41	12	54	9	16	50	24	30	34	40	84	80	55	42	62	4	8	4	261	8	3	3	3	5	8	3	6	3	4	7	3	5	4	6	6	3	3	8	4	3	3	6	2	7	7	7	5	3	6	10	4	10	2604	8	3	4	4	4	4	3	9	5	2	11	4	2	3	6	2	3	2	2	2	2	5	7	2	5	1	5	4	3	5	2	10	6	4	2	3	26	3	4	2	10	4	4	5	6	3	4	4	3	4	425		2021-02-23 13:22:31	T	F	88	88	0	0	1.12	14
151			"base"	"interview"	2021-02-23 12:28:07	1	T	"37"	"Deutsch"	2	4		4		1		4		1		1		4		4		4		1		1		4		4		4		1		4		4		3		5	2		4		1		1		1	1	1		4		6		4		2		2		1		3		3		6		1		4		2		4		2		2		4		1		5		7	"Person"	4		3		1		1		3		2		1	1		1		1		1		1		1		1		4		1		1	2		1	1		2	1		4		4		1	6		3		7	"Geruch "	2		1		4		3		4	3	4		5	4	2		4		3	103	13	1	27	85	18	84	29	2	59	45	54	58	69	82	20	46	72	56	35	70	32	78	31	60	8	61	36	23	14	83	52	9	79	80	57	67	38	25	68	40	47	17	55	63	28	41	39	10	19	62	77	5	51	3	74	22	34	65	33	49	12	50	81	26	75	6	64	66	4	44	42	15	30	73	53	7	48	43	11	76	16	37	71	24	21	9	11	9	6	4	2	2	3	3	8	3	3	4	4	17	3	2	2	6	6	3	4	3	3	2	2	2	3	8	4	16	3	4	2	7	4	5	3	3	4	3	3	7	3	3	4	16	4	4	4	3	4	3	2	3	2	3	2	2	6	4	4	5	2	2	2	2	5	2	4	2	2	3	3	13	1	5	5	7	5	3	4	2	4	3	9	5	3	371		2021-02-23 12:34:31	T	F	88	88	0	0	1.29	18
152			"base"	"interview"	2021-02-23 12:29:49	1	T	"41"	"Deutsch"	2	4		4		4		4		1		4		4		4		4		3		1		4		4		1		4		4		4		4		5	2		4		1		1		1	1	1		2		1		4		2		1		1		3		6		5		1		3		1		1		2		4		4		1		3		4		4		2		1		1		4		1		2	1		1		2		1		1		1		1		1		1		1	2		1	1		1	1		4		4		1	6		3		4		2		1		1		6		4	5	4		5	4	2		4		3	105	21	67	62	4	72	10	59	42	61	45	24	48	41	1	19	18	64	2	34	35	36	3	78	70	54	29	81	8	58	79	50	27	82	9	77	32	55	12	22	51	31	73	63	83	13	11	30	5	20	52	80	56	25	66	57	69	46	33	44	6	60	26	47	74	15	65	37	14	17	49	40	28	23	38	53	43	16	85	71	75	7	76	68	84	39	8	12	5	4	2	8	8	3	2	4	3	6	4	4	3	3	4	3	9	3	5	3	12	11	2	18	3	2	7	3	5	3	4	10	10	15	10	14	7	3	6	6	10	4	7	4	19	4	4	16	3	8	4	5	2	2	2	4	2	4	18	3	7	3	4	2	8	5	4	3	2	3	4	4	12	3	4	4	5	4	5	13	3	4	2	5	6	4	460		2021-02-23 12:38:14	T	F	88	88	0	0	1.03	10
